gene,AML,Adrenocortical,Bladder,Breast,Cervical,Cholangiocarcinoma,Colorectal,DLBCL,Esophageal,Glioblastoma,Head&Neck,Kidney Chromophobe,Kidney Clear Cell,Kidney Papillary,Liver,Low Grade Glioma,Lung Adeno,Lung Squamous,Melanoma,Mesothelioma,Ovarian,Pancreatic,Pheochromocytoma,Prostate,Sarcoma,Stomach,Testicular,Thymoma,Thyroid,Uterine,Uterine Carcinosarcoma,Uveal Melanoma
PTK7,0.5755,-0.0842,0.1612,0.24,-0.0004,0.9699,0.3682,0.1076,0.4529,0.5498,0.5142,-0.0336,0.0159,0.2494,0.2052,0.4034,0.1023,0.0969,-0.0429,0.4433,-0.1285,0.5602,0.6301,0.0426,1.3233,0.2161,0.0611,0.5524,0.1045,-0.0536,0.0346,0.2728
CACNG4,0.1084,-0.0095,0.0134,0.8069,0.2906,0.7334,0.0841,-0.0,0.1384,0.3322,0.1496,-0.0,0.0,-0.0014,0.1232,0.5469,-0.1583,-0.272,-0.0665,1.321,1.3718,0.731,1.9166,0.1252,0.6782,-0.1006,0.1268,-0.0079,0.3902,0.4463,1.1611,-0.009
TNFRSF9,-0.0252,0.0556,0.2391,0.5396,0.6295,0.2524,0.3829,1.0023,1.2649,0.1047,1.1508,-0.002,0.9139,0.1077,0.0793,0.0043,0.5817,0.385,0.9749,1.1932,0.6495,0.5545,-0.0,0.022,1.2642,1.225,0.6834,0.4667,0.1311,0.2019,0.1181,-0.0695
SLC12A8,0.0082,-0.0753,0.3465,0.4797,0.4926,0.3684,0.5073,0.4551,0.8215,0.1743,0.4,0.0756,0.0455,0.3978,0.0849,0.0768,0.2528,0.3654,-0.0518,0.8851,0.6991,0.2641,-0.0275,0.2771,0.7595,0.3642,-0.1519,-0.0758,-0.0528,0.6145,0.484,-0.0207
ABCA12,0.0,-0.0,0.429,0.9564,1.909,0.6012,-0.0006,-0.0165,2.2897,0.0049,3.2902,-0.0058,0.8589,1.262,0.0,0.0034,1.3472,2.3639,-0.2411,0.1036,0.0015,0.6715,0.0038,-0.0036,0.0061,0.4757,-0.0275,0.0113,0.0017,0.1132,0.0347,0.0
GPR39,0.0,0.0,0.0749,0.4466,0.5374,0.4094,0.6885,0.0,0.6617,0.0823,0.4883,-0.0574,0.2229,0.4554,0.0884,0.0085,0.3253,-0.1883,-0.031,0.09,0.7098,0.4499,0.0845,-0.0025,0.5938,0.1936,-0.2707,-0.0111,0.1226,1.1093,0.5472,-0.0
CD2,0.6939,-0.0555,0.0468,0.5161,0.3762,0.3205,0.0321,0.2806,0.3864,0.4502,0.4335,0.0214,0.8731,0.4774,0.2126,0.0511,0.134,-0.0013,0.6382,0.438,0.1814,0.7375,0.0351,0.1067,0.6801,0.3629,0.6491,1.1996,0.1019,0.2846,-0.0072,-0.0952
GPRC5A,-0.0028,-0.0122,0.0815,0.6986,0.302,0.4716,0.7166,-0.0098,0.8451,0.5888,0.4531,0.06,-0.1703,-0.0724,-0.0114,0.0225,-0.0092,-0.3534,0.0184,0.5888,0.0919,1.2827,-0.1224,0.0243,0.5193,0.8369,0.9116,-0.1429,0.1763,0.2728,0.0497,-0.2013
PIGR,-0.0217,-0.0094,-0.2267,-0.2746,0.0933,-0.1011,0.5769,0.4762,0.7523,0.002,-0.0143,-0.4338,-0.3493,0.7429,0.16,0.0072,0.1001,-0.3865,-0.0172,-0.0425,0.0043,0.9342,-0.0,0.4947,-0.0102,0.4309,-0.0414,-0.0657,0.0571,1.0158,-0.025,-0.0
CD3D,-0.2717,-0.0382,0.1438,0.3583,0.5922,0.4244,0.0639,0.4691,0.4,0.4028,0.4978,0.0256,0.7986,0.4451,0.3175,0.0482,0.1606,0.0392,0.5424,0.4809,0.0826,0.7971,0.0791,0.1252,0.5716,0.3637,0.8587,1.5693,0.1127,0.3329,-0.0037,-0.0831
