gene,ensg,tumor_median_log2,normal_median_log2,fc_log2,gtex_positive_count,tumor_positive_rate,tsi,tsi_norm,rank
SCN10A,ENSG00000185313,-9.966,-9.966,0.0,176,0.0,0.0,0.2605042014617612,1613
TAS2R19,ENSG00000212124,-3.626,-2.178,-1.45,5611,0.021,-0.0,0.2605042014617612,1614
P2RY4,ENSG00000186912,-5.012,-3.816,-1.2,2590,0.006,-0.0,0.2605042014617612,1615
OR6C4,ENSG00000179626,-9.966,-9.966,0.0,28,0.0,0.0,0.2605042014617612,1616
OR1F1,ENSG00000168124,-9.966,-9.966,0.0,1174,0.011,0.0,0.2605042014617612,1617
OR10H2,ENSG00000171942,-9.966,-9.966,0.0,117,0.0,0.0,0.2605042014617612,1618
GRIK4,ENSG00000149403,-3.047,-3.047,0.0,3861,0.162,0.0,0.2605042014617612,1619
OR3A4P,ENSG00000180068,-9.966,-9.966,0.0,26,0.0,0.0,0.2605042014617612,1620
OR13F1,ENSG00000186881,-9.966,-9.966,0.0,22,0.0,0.0,0.2605042014617612,1621
GPR45,ENSG00000135973,-5.012,-4.608,-0.4,1766,0.03,-0.0,0.2605042014617612,1622
OR4P4,ENSG00000181927,-9.966,-9.966,0.0,9,0.0,0.0,0.2605042014617612,1623
CDH2,ENSG00000170558,1.064,1.064,0.0,6697,0.621,0.0,0.2605042014617612,1624
TEX101,ENSG00000131126,-9.966,-9.966,0.0,1549,0.035,0.0,0.2605042014617612,1625
LRRN2,ENSG00000170382,0.841,0.904,-0.06,7489,0.615,-0.0,0.2605042014617612,1626
OR1P1,ENSG00000262085,-9.966,-9.966,0.0,18,0.0,0.0,0.2605042014617612,1627
OR1I1,ENSG00000094661,-9.966,-9.966,0.0,1,0.0,0.0,0.2605042014617612,1628
OR6C2,ENSG00000179695,-9.966,-9.966,0.0,117,0.001,0.0,0.2605042014617612,1629
OPN4,ENSG00000122375,-5.574,-3.308,-2.27,3944,0.008,-0.0,0.2605042014617612,1630
OR51S1,ENSG00000176922,-9.966,-9.966,0.0,54,0.0,0.0,0.2605042014617612,1631
OR51T1,ENSG00000176900,-9.966,-9.966,0.0,19,0.0,0.0,0.2605042014617612,1632
OR11A1,ENSG00000204694,-9.966,-9.966,0.0,82,0.0,0.0,0.2605042014617612,1633
OR4K13,ENSG00000176253,-9.966,-9.966,0.0,6,0.0,0.0,0.2605042014617612,1634
SIGLEC16,ENSG00000161643,-2.727,-1.781,-0.95,6102,0.037,-0.0,0.2605042014617612,1635
SLC2A2,ENSG00000163581,-9.966,-9.966,0.0,677,0.128,0.0,0.2605042014617612,1636
TRHR,ENSG00000174417,-9.966,-9.966,0.0,267,0.003,0.0,0.2605042014617612,1637
OR8J1,ENSG00000172487,-9.966,-9.966,0.0,12,0.0,0.0,0.2605042014617612,1638
OR6K3,ENSG00000203757,-9.966,-9.966,0.0,211,0.0,0.0,0.2605042014617612,1639
OR2D3,ENSG00000178358,-9.966,-9.966,0.0,83,0.0,0.0,0.2605042014617612,1640
MC5R,ENSG00000176136,-9.966,-9.966,0.0,864,0.017,0.0,0.2605042014617612,1641
CACNG2,ENSG00000166862,-9.966,-9.966,0.0,1397,0.064,0.0,0.2605042014617612,1642
OR8G5,ENSG00000255298,-9.966,-9.966,0.0,526,0.013,0.0,0.2605042014617612,1643
GPR179,ENSG00000277399,-5.574,-4.608,-0.97,2215,0.02,-0.0,0.2605042014617612,1644
OR10A2,ENSG00000170790,-9.966,-9.966,0.0,67,0.0,0.0,0.2605042014617612,1645
OR13C4,ENSG00000148136,-9.966,-9.966,0.0,26,0.0,0.0,0.2605042014617612,1646
OR4C12,ENSG00000221954,-9.966,-9.966,0.0,10,0.0,0.0,0.2605042014617612,1647
OR5T2,ENSG00000181718,-9.966,-9.966,0.0,19,0.0,0.0,0.2605042014617612,1648
OR51B4,ENSG00000183251,-9.966,-9.966,0.0,626,0.007,0.0,0.2605042014617612,1649
OR2S2,ENSG00000278889,-9.966,-9.966,0.0,53,0.0,0.0,0.2605042014617612,1650
TACR3,ENSG00000169836,-9.966,-9.966,0.0,516,0.004,0.0,0.2605042014617612,1651
GDPD2,ENSG00000130055,-3.626,-3.626,0.0,3440,0.249,0.0,0.2605042014617612,1652
OR6C1,ENSG00000205330,-9.966,-9.966,0.0,14,0.0,0.0,0.2605042014617612,1653
TMPRSS15,ENSG00000154646,-9.966,-9.966,0.0,257,0.017,0.0,0.2605042014617612,1654
NPBWR2,ENSG00000125522,-9.966,-9.966,0.0,240,0.008,0.0,0.2605042014617612,1655
OR6F1,ENSG00000169214,-9.966,-9.966,0.0,218,0.0,0.0,0.2605042014617612,1656
GPR6,ENSG00000146360,-9.966,-9.966,0.0,1017,0.01,0.0,0.2605042014617612,1657
OR52H1,ENSG00000181616,-9.966,-9.966,0.0,218,0.0,0.0,0.2605042014617612,1658
OR6C76,ENSG00000185821,-9.966,-9.966,0.0,13,0.0,0.0,0.2605042014617612,1659
MMP16,ENSG00000156103,-1.732,-1.595,-0.14,5643,0.268,-0.0,0.2605042014617612,1660
OR6Y1,ENSG00000197532,-9.966,-9.966,0.0,8,0.0,0.0,0.2605042014617612,1661
KCNK18,ENSG00000186795,-9.966,-9.966,0.0,168,0.0,0.0,0.2605042014617612,1662
ERVFC1,ENSG00000233887,-9.966,-9.966,0.0,159,0.005,0.0,0.2605042014617612,1663
MFRP,ENSG00000235718,-9.966,-9.966,0.0,75,0.0,0.0,0.2605042014617612,1664
PCDHA5,ENSG00000204965,-4.035,-4.293,0.26,2216,0.058,0.0,0.2605042014617612,1665
OR5M1,ENSG00000255012,-9.966,-9.966,0.0,33,0.0,0.0,0.2605042014617612,1666
PCDHGA1,ENSG00000204956,-1.685,-1.781,0.1,6316,0.173,0.0,0.2605042014617612,1667
OR6C70,ENSG00000184954,-9.966,-9.966,0.0,27,0.005,0.0,0.2605042014617612,1668
SLC22A16,ENSG00000004809,-3.458,-3.626,0.17,3326,0.051,0.0,0.2605042014617612,1669
ZAN,ENSG00000146839,-9.966,-9.966,0.0,234,0.009,0.0,0.2605042014617612,1670
PCDHB11,ENSG00000197479,-0.941,-0.886,-0.05,6462,0.347,-0.0,0.2605042014617612,1671
OR1M1,ENSG00000170929,-9.966,-9.966,0.0,16,0.0,0.0,0.2605042014617612,1672
OR4C16,ENSG00000279514,-9.966,-9.966,0.0,9,0.0,0.0,0.2605042014617612,1673
OR2T34,ENSG00000183310,-9.966,-9.966,0.0,66,0.0,0.0,0.2605042014617612,1674
OR11H6,ENSG00000176219,-9.966,-9.966,0.0,86,0.0,0.0,0.2605042014617612,1675
OR1L3,ENSG00000171481,-9.966,-9.966,0.0,128,0.0,0.0,0.2605042014617612,1676
GLRA2,ENSG00000101958,-9.966,-9.966,0.0,1537,0.04,0.0,0.2605042014617612,1677
OR1L1,ENSG00000173679,-9.966,-9.966,0.0,41,0.0,0.0,0.2605042014617612,1678
GPR150,ENSG00000178015,-2.826,-2.178,-0.65,5421,0.047,-0.0,0.2605042014617612,1679
OR5B12,ENSG00000172362,-9.966,-9.966,0.0,207,0.002,0.0,0.2605042014617612,1680
OR52B2,ENSG00000255307,-9.966,-9.966,0.0,43,0.0,0.0,0.2605042014617612,1681
FFAR3,ENSG00000185897,-3.626,-3.047,-0.58,3857,0.031,-0.0,0.2605042014617612,1682
OR52B6,ENSG00000187747,-9.966,-9.966,0.0,402,0.001,0.0,0.2605042014617612,1683
OR2Z1,ENSG00000181733,-9.966,-9.966,0.0,52,0.0,0.0,0.2605042014617612,1684
RAMP2,ENSG00000131477,4.687,4.72,-0.03,7664,1.0,-0.0,0.2605042014617612,1685
OR5B21,ENSG00000198283,-9.966,-9.966,0.0,240,0.0,0.0,0.2605042014617612,1686
OR6B2,ENSG00000182083,-9.966,-9.966,0.0,516,0.0,0.0,0.2605042014617612,1687
CLRN1,ENSG00000163646,-9.966,-9.966,0.0,559,0.008,0.0,0.2605042014617612,1688
SLC39A14,ENSG00000104635,4.295,4.313,-0.02,7755,0.997,-0.0,0.2605042014617612,1689
OR10A3,ENSG00000170683,-9.966,-9.966,0.0,388,0.0,0.0,0.2605042014617612,1690
MRGPRG,ENSG00000182170,-9.966,-9.966,0.0,185,0.0,0.0,0.2605042014617612,1691
OR2T5,ENSG00000203661,-9.966,-9.966,0.0,146,0.003,0.0,0.2605042014617612,1692
TAS2R38,ENSG00000257138,-9.966,-9.966,0.0,117,0.011,0.0,0.2605042014617612,1693
TMX4,ENSG00000125827,3.791,3.754,0.04,7835,0.998,0.0,0.2605042014617612,1694
OR8H2,ENSG00000181767,-9.966,-9.966,0.0,35,0.0,0.0,0.2605042014617612,1695
HTR5A,ENSG00000157219,-9.966,-9.966,0.0,1422,0.022,0.0,0.2605042014617612,1696
DAGLA,ENSG00000134780,0.888,0.896,-0.01,7437,0.738,-0.0,0.2605042014617612,1697
SLC35F4,ENSG00000151812,-5.574,-4.608,-0.97,2648,0.021,-0.0,0.2605042014617612,1698
MRGPRX4,ENSG00000179817,-9.966,-9.966,0.0,67,0.002,0.0,0.2605042014617612,1699
HTR3E,ENSG00000186038,-9.966,-9.966,0.0,322,0.008,0.0,0.2605042014617612,1700
OR4X2,ENSG00000172208,-9.966,-9.966,0.0,5,0.0,0.0,0.2605042014617612,1701
OR8U1,ENSG00000172199,-9.966,-9.966,0.0,16,0.0,0.0,0.2605042014617612,1702
OR1L4,ENSG00000136939,-9.966,-9.966,0.0,86,0.0,0.0,0.2605042014617612,1703
CEACAM3,ENSG00000170956,-2.932,-2.932,0.0,4019,0.062,0.0,0.2605042014617612,1704
TAS2R39,ENSG00000236398,-9.966,-9.966,0.0,46,0.0,0.0,0.2605042014617612,1705
TAAR6,ENSG00000146383,-9.966,-9.966,0.0,43,0.0,0.0,0.2605042014617612,1706
OR5K3,ENSG00000206536,-9.966,-9.966,0.0,30,0.0,0.0,0.2605042014617612,1707
TMEM132E,ENSG00000181291,-2.932,-2.727,-0.21,4288,0.152,-0.0,0.2605042014617612,1708
SCAP,ENSG00000114650,5.033,5.075,-0.04,7835,1.0,-0.0,0.2605042014617612,1709
OR8H1,ENSG00000181693,-9.966,-9.966,0.0,16,0.0,0.0,0.2605042014617612,1710
SLC45A2,ENSG00000164175,-3.816,-4.035,0.22,2371,0.069,0.0,0.2605042014617612,1711
SERINC4,ENSG00000184716,-2.635,-1.355,-1.28,6905,0.025,-0.0,0.2605042014617612,1712
LRRC4,ENSG00000128594,-0.199,-0.284,0.09,7138,0.464,0.0,0.2605042014617612,1713
KIR2DL3,ENSG00000243772,-4.608,-5.574,0.97,1362,0.014,0.0,0.2605042014617612,1714
OR10T2,ENSG00000186306,-9.966,-9.966,0.0,14,0.002,0.0,0.2605042014617612,1715
DRD3,ENSG00000151577,-9.966,-9.966,0.0,384,0.001,0.0,0.2605042014617612,1716
OR6C65,ENSG00000205328,-9.966,-9.966,0.0,7,0.0,0.0,0.2605042014617612,1717
SLC22A12,ENSG00000197891,-9.966,-9.966,0.0,351,0.078,0.0,0.2605042014617612,1718
OR13C9,ENSG00000136839,-9.966,-9.966,0.0,72,0.0,0.0,0.2605042014617612,1719
BRS3,ENSG00000102239,-9.966,-9.966,0.0,539,0.009,0.0,0.2605042014617612,1720
LCT,ENSG00000115850,-6.506,-6.506,0.0,249,0.014,0.0,0.2605042014617612,1721
GFRA4,ENSG00000125861,-9.966,-9.966,0.0,737,0.005,0.0,0.2605042014617612,1722
OR4A5,ENSG00000221840,-9.966,-9.966,0.0,3,0.0,0.0,0.2605042014617612,1723
GABRR3,ENSG00000183185,-9.966,-9.966,0.0,164,0.003,0.0,0.2605042014617612,1724
PCDHB1,ENSG00000171815,-6.506,-9.966,3.46,326,0.002,0.0,0.2605042014617612,1725
PCDHA2,ENSG00000204969,-3.626,-3.458,-0.17,3246,0.079,-0.0,0.2605042014617612,1726
CHRM3,ENSG00000133019,-0.759,-0.808,0.05,5898,0.403,0.0,0.2605042014617612,1727
TAS2R1,ENSG00000169777,-9.966,-9.966,0.0,534,0.001,0.0,0.2605042014617612,1728
HTR7,ENSG00000148680,-2.466,-2.245,-0.22,5157,0.133,-0.0,0.2605042014617612,1729
OR2A2,ENSG00000221989,-9.966,-9.966,0.0,96,0.0,0.0,0.2605042014617612,1730
OR10J1,ENSG00000196184,-9.966,-9.966,0.0,196,0.0,0.0,0.2605042014617612,1731
SHISA8,ENSG00000234965,-4.035,-4.035,0.0,3303,0.052,0.0,0.2605042014617612,1732
CD300LD,ENSG00000204345,-9.966,-9.966,0.0,397,0.002,0.0,0.2605042014617612,1733
TECTB,ENSG00000119913,-9.966,-9.966,0.0,573,0.011,0.0,0.2605042014617612,1734
MTNR1A,ENSG00000168412,-9.966,-9.966,0.0,646,0.017,0.0,0.2605042014617612,1735
OR10Q1,ENSG00000180475,-9.966,-9.966,0.0,376,0.002,0.0,0.2605042014617612,1736
MFSD2B,ENSG00000205639,-2.245,-2.932,0.69,4032,0.04,0.0,0.2605042014617612,1737
GPR148,ENSG00000173302,-9.966,-9.966,0.0,528,0.001,0.0,0.2605042014617612,1738
OR10S1,ENSG00000196248,-9.966,-9.966,0.0,8,0.0,0.0,0.2605042014617612,1739
OR52K1,ENSG00000196778,-9.966,-9.966,0.0,69,0.0,0.0,0.2605042014617612,1740
USH2A,ENSG00000042781,-6.506,-5.574,-0.93,523,0.008,-0.0,0.2605042014617612,1741
OR52K2,ENSG00000181963,-9.966,-9.966,0.0,55,0.0,0.0,0.2605042014617612,1742
SLC22A9,ENSG00000149742,-9.966,-9.966,0.0,588,0.043,0.0,0.2605042014617612,1743
GPR78,ENSG00000155269,-4.035,-4.293,0.26,2663,0.071,0.0,0.2605042014617612,1744
ATP13A1,ENSG00000105726,5.14,5.126,0.01,7834,1.0,0.0,0.2605042014617612,1745
ADAM21,ENSG00000139985,-3.626,-3.047,-0.58,3835,0.016,-0.0,0.2605042014617612,1746
ADAM30,ENSG00000134249,-9.966,-9.966,0.0,171,0.0,0.0,0.2605042014617612,1747
SLC22A6,ENSG00000197901,-9.966,-9.966,0.0,1149,0.089,0.0,0.2605042014617612,1748
OR51A4,ENSG00000205497,-9.966,-9.966,0.0,22,0.0,0.0,0.2605042014617612,1749
DCC,ENSG00000187323,-4.608,-4.293,-0.31,2792,0.077,-0.0,0.2605042014617612,1750
OR1B1,ENSG00000280094,-9.966,-9.966,0.0,99,0.0,0.0,0.2605042014617612,1751
OR52E8,ENSG00000183269,-9.966,-9.966,0.0,13,0.0,0.0,0.2605042014617612,1752
OR2T12,ENSG00000177201,-9.966,-9.966,0.0,57,0.0,0.0,0.2605042014617612,1753
GFY,ENSG00000261949,-9.966,-9.966,0.0,566,0.026,0.0,0.2605042014617612,1754
OR4C5,ENSG00000176540,-9.966,-9.966,0.0,3,0.0,0.0,0.2605042014617612,1755
OR5K1,ENSG00000232382,-9.966,-9.966,0.0,87,0.0,0.0,0.2605042014617612,1756
OR9A1P,ENSG00000237621,-9.966,-9.966,0.0,426,0.0,0.0,0.2605042014617612,1757
SLC38A4,ENSG00000139209,-1.994,-2.114,0.12,4895,0.221,0.0,0.2605042014617612,1758
SLC36A3,ENSG00000186334,-9.966,-9.966,0.0,181,0.0,0.0,0.2605042014617612,1759
OR4A15,ENSG00000181958,-9.966,-9.966,0.0,10,0.0,0.0,0.2605042014617612,1760
OR1N1,ENSG00000171505,-9.966,-9.966,0.0,275,0.004,0.0,0.2605042014617612,1761
MRGPRX2,ENSG00000183695,-9.966,-6.506,-3.46,1710,0.001,-0.0,0.2605042014617612,1762
OR4X1,ENSG00000176567,-9.966,-9.966,0.0,0,0.0,0.0,0.2605042014617612,1763
OR4K2,ENSG00000165762,-9.966,-9.966,0.0,19,0.001,0.0,0.2605042014617612,1764
TAS2R46,ENSG00000226761,-9.966,-9.966,0.0,869,0.002,0.0,0.2605042014617612,1765
TAAR5,ENSG00000135569,-9.966,-9.966,0.0,8,0.0,0.0,0.2605042014617612,1766
ROBO1,ENSG00000169855,3.176,3.217,-0.04,7476,0.951,-0.0,0.2605042014617612,1767
OR6C75,ENSG00000187857,-9.966,-9.966,0.0,8,0.0,0.0,0.2605042014617612,1768
SCN11A,ENSG00000168356,-4.608,-3.047,-1.56,3772,0.007,-0.0,0.2605042014617612,1769
OR52A5,ENSG00000171944,-9.966,-9.966,0.0,98,0.0,0.0,0.2605042014617612,1770
MUC22,ENSG00000261272,-9.966,-9.966,0.0,297,0.009,0.0,0.2605042014617612,1771
OR2M2,ENSG00000198601,-9.966,-9.966,0.0,39,0.0,0.0,0.2605042014617612,1772
OR5AC1,ENSG00000213439,-9.966,-9.966,0.0,3,0.0,0.0,0.2605042014617612,1773
OR7D2,ENSG00000188000,-5.574,-4.608,-0.97,1557,0.013,-0.0,0.2605042014617612,1774
SLC5A8,ENSG00000256870,-6.506,-6.506,0.0,1383,0.157,0.0,0.2605042014617612,1775
GPR152,ENSG00000175514,-9.966,-9.966,0.0,337,0.0,0.0,0.2605042014617612,1776
OR5H2,ENSG00000197938,-9.966,-9.966,0.0,45,0.0,0.0,0.2605042014617612,1777
OR10H3,ENSG00000171936,-9.966,-9.966,0.0,19,0.0,0.0,0.2605042014617612,1778
GFRAL,ENSG00000187871,-9.966,-9.966,0.0,252,0.001,0.0,0.2605042014617612,1779
OR10A7,ENSG00000179919,-9.966,-9.966,0.0,61,0.0,0.0,0.2605042014617612,1780
OR6A2,ENSG00000184933,-9.966,-9.966,0.0,197,0.0,0.0,0.2605042014617612,1781
OR2T29,ENSG00000182783,-9.966,-9.966,0.0,71,0.001,0.0,0.2605042014617612,1782
OR5H6,ENSG00000230301,-9.966,-9.966,0.0,21,0.0,0.0,0.2605042014617612,1783
SLC10A5,ENSG00000253598,-1.884,-2.114,0.23,5759,0.072,0.0,0.2605042014617612,1784
OR10D3,ENSG00000197309,-9.966,-9.966,0.0,163,0.0,0.0,0.2605042014617612,1785
CHRNA3,ENSG00000080644,-2.635,-2.727,0.09,4331,0.131,0.0,0.2605042014617612,1786
OPN1LW,ENSG00000102076,-9.966,-9.966,0.0,195,0.002,0.0,0.2605042014617612,1787
ZP4,ENSG00000116996,-9.966,-9.966,0.0,31,0.007,0.0,0.2605042014617612,1788
OR14J1,ENSG00000204695,-9.966,-9.966,0.0,169,0.0,0.0,0.2605042014617612,1789
GPR151,ENSG00000173250,-9.966,-9.966,0.0,292,0.001,0.0,0.2605042014617612,1790
GP5,ENSG00000178732,-5.012,-5.012,0.0,964,0.004,0.0,0.2605042014617612,1791
KIRREL3,ENSG00000149571,-1.806,-1.214,-0.59,6364,0.185,-0.001,0.252100840124285,1792
SLC22A13,ENSG00000172940,-5.574,-4.608,-0.97,1084,0.022,-0.001,0.252100840124285,1793
AMHR2,ENSG00000135409,-4.293,-3.171,-1.12,3740,0.053,-0.001,0.252100840124285,1794
APLP1,ENSG00000105290,2.125,2.218,-0.09,7693,0.869,-0.001,0.252100840124285,1795
SLC10A1,ENSG00000100652,-6.506,-5.574,-0.93,714,0.04,-0.001,0.252100840124285,1796
GPC2,ENSG00000213420,-0.15,0.044,-0.19,7602,0.473,-0.001,0.252100840124285,1797
SLC2A14,ENSG00000173262,-3.626,-3.047,-0.58,4031,0.079,-0.001,0.252100840124285,1798
LRIT2,ENSG00000204033,-9.966,-6.506,-3.46,1934,0.017,-0.001,0.252100840124285,1799
LDLRAD4,ENSG00000168675,2.563,2.676,-0.11,7619,0.929,-0.001,0.252100840124285,1800
SLC14A2,ENSG00000132874,-4.293,-3.816,-0.48,2814,0.07,-0.001,0.252100840124285,1801
SUSD2,ENSG00000099994,2.011,2.164,-0.15,7504,0.849,-0.001,0.252100840124285,1802
PCDHB12,ENSG00000120328,-0.886,-0.512,-0.37,6827,0.266,-0.001,0.252100840124285,1803
PIEZO1,ENSG00000103335,5.823,5.91,-0.09,7835,1.0,-0.001,0.252100840124285,1804
SIGLEC11,ENSG00000161640,-2.727,-1.781,-0.95,5393,0.095,-0.001,0.252100840124285,1805
CSMD1,ENSG00000183117,-4.035,-3.816,-0.22,3132,0.16,-0.001,0.252100840124285,1806
MMP25,ENSG00000008516,-0.134,0.03,-0.16,7670,0.464,-0.001,0.252100840124285,1807
CLDN19,ENSG00000164007,-5.574,-5.012,-0.56,1836,0.089,-0.001,0.252100840124285,1808
IL18RAP,ENSG00000115607,-1.831,-0.913,-0.92,6840,0.133,-0.001,0.252100840124285,1809
SELE,ENSG00000007908,-0.759,-0.642,-0.12,5690,0.389,-0.001,0.252100840124285,1810
LINGO2,ENSG00000174482,-5.012,-4.293,-0.72,2715,0.073,-0.001,0.252100840124285,1811
ADAM22,ENSG00000008277,-0.233,-0.042,-0.19,7347,0.456,-0.001,0.252100840124285,1812
SLC5A11,ENSG00000158865,-3.626,-3.047,-0.58,3962,0.093,-0.001,0.252100840124285,1813
NUP210L,ENSG00000143552,-6.506,-5.012,-1.49,929,0.011,-0.001,0.252100840124285,1814
CUZD1,ENSG00000138161,-1.43,-0.664,-0.77,7353,0.108,-0.001,0.252100840124285,1815
MEGF9,ENSG00000106780,2.799,2.888,-0.09,7835,0.978,-0.001,0.252100840124285,1816
GPR61,ENSG00000156097,-2.178,-1.181,-1.0,6531,0.109,-0.001,0.252100840124285,1817
IZUMO1,ENSG00000182264,-3.458,-2.053,-1.41,5371,0.029,-0.001,0.252100840124285,1818
HAVCR1,ENSG00000113249,-4.293,-4.035,-0.26,2524,0.165,-0.001,0.252100840124285,1819
PCDHA3,ENSG00000255408,-2.635,-1.994,-0.64,5081,0.153,-0.001,0.252100840124285,1820
SIGLEC6,ENSG00000105492,-2.932,-2.548,-0.38,4187,0.11,-0.001,0.252100840124285,1821
TREH,ENSG00000118094,-3.816,-3.047,-0.77,3738,0.112,-0.001,0.252100840124285,1822
CRHR2,ENSG00000106113,-3.816,-2.178,-1.64,5396,0.033,-0.001,0.252100840124285,1823
SLC39A12,ENSG00000148482,-6.506,-5.574,-0.93,1765,0.063,-0.001,0.252100840124285,1824
SCN2A,ENSG00000136531,-3.626,-3.047,-0.58,3887,0.155,-0.001,0.252100840124285,1825
GABRA5,ENSG00000186297,-5.574,-5.012,-0.56,2715,0.094,-0.001,0.252100840124285,1826
SLC36A2,ENSG00000186335,-9.966,-5.574,-4.39,1450,0.012,-0.001,0.252100840124285,1827
SIRPB2,ENSG00000196209,0.03,0.264,-0.23,7189,0.509,-0.001,0.252100840124285,1828
PCDHGB3,ENSG00000262209,-2.178,-1.214,-0.96,6704,0.101,-0.001,0.252100840124285,1829
GABRB2,ENSG00000145864,-3.816,-3.308,-0.51,3402,0.128,-0.001,0.252100840124285,1830
PTGDR,ENSG00000168229,-2.727,-1.43,-1.3,5990,0.044,-0.001,0.252100840124285,1831
CA14,ENSG00000118298,-0.834,-0.642,-0.19,6746,0.315,-0.001,0.252100840124285,1832
SLC7A9,ENSG00000021488,-1.781,-1.248,-0.53,6333,0.206,-0.001,0.252100840124285,1833
TNFRSF8,ENSG00000120949,-1.283,-0.86,-0.42,6215,0.196,-0.001,0.252100840124285,1834
CD177,ENSG00000204936,-1.685,-1.43,-0.25,6136,0.29,-0.001,0.252100840124285,1835
SLITRK5,ENSG00000165300,-4.608,-3.816,-0.79,3233,0.086,-0.001,0.252100840124285,1836
VSIG8,ENSG00000243284,-4.293,-2.826,-1.47,4385,0.057,-0.001,0.252100840124285,1837
OSMR,ENSG00000145623,3.753,3.885,-0.13,7655,0.969,-0.001,0.252100840124285,1838
BEST4,ENSG00000142959,-1.831,-1.552,-0.28,6287,0.145,-0.001,0.252100840124285,1839
HTR1B,ENSG00000135312,-3.816,-2.548,-1.27,4513,0.045,-0.001,0.252100840124285,1840
TYRP1,ENSG00000107165,-2.826,-2.548,-0.28,4338,0.177,-0.001,0.252100840124285,1841
TAS2R30,ENSG00000256188,-9.966,-5.574,-4.39,540,0.005,-0.001,0.252100840124285,1842
NETO1,ENSG00000166342,-3.047,-2.727,-0.32,4339,0.175,-0.001,0.252100840124285,1843
SLC28A2,ENSG00000137860,-5.012,-4.608,-0.4,1657,0.061,-0.001,0.252100840124285,1844
ERMAP,ENSG00000164010,2.436,2.506,-0.07,7834,0.987,-0.001,0.252100840124285,1845
SLC10A4,ENSG00000145248,-3.308,-2.826,-0.48,4318,0.14,-0.001,0.252100840124285,1846
TAS2R4,ENSG00000127364,-2.466,-1.149,-1.32,6916,0.046,-0.001,0.252100840124285,1847
OPCML,ENSG00000183715,-4.293,-3.626,-0.67,3406,0.126,-0.001,0.252100840124285,1848
ISLR2,ENSG00000167178,-1.181,-1.026,-0.15,6270,0.266,-0.001,0.252100840124285,1849
NTRK1,ENSG00000198400,-2.315,-1.355,-0.96,6398,0.077,-0.001,0.252100840124285,1850
OR51E2,ENSG00000167332,-3.816,-3.458,-0.36,3317,0.101,-0.001,0.252100840124285,1851
UTS2R,ENSG00000181408,-5.574,-4.608,-0.97,2129,0.04,-0.001,0.252100840124285,1852
FZD9,ENSG00000188763,-2.053,-1.595,-0.46,6077,0.2,-0.001,0.252100840124285,1853
HTR4,ENSG00000164270,-6.506,-4.035,-2.47,2973,0.018,-0.001,0.252100840124285,1854
PROKR1,ENSG00000169618,-6.506,-5.574,-0.93,1095,0.025,-0.001,0.252100840124285,1855
CEACAM8,ENSG00000124469,-9.966,-6.506,-3.46,1378,0.008,-0.001,0.252100840124285,1856
GRM2,ENSG00000164082,-2.466,-1.552,-0.91,6327,0.074,-0.001,0.252100840124285,1857
SLC5A4,ENSG00000100191,-3.458,-2.466,-0.99,4636,0.037,-0.001,0.252100840124285,1858
CORIN,ENSG00000145244,-1.43,-1.117,-0.31,6331,0.27,-0.001,0.252100840124285,1859
PCDH8,ENSG00000136099,-5.012,-4.608,-0.4,2827,0.177,-0.001,0.252100840124285,1860
DRD1,ENSG00000184845,-4.293,-3.171,-1.12,3491,0.073,-0.001,0.252100840124285,1861
PTPRT,ENSG00000196090,-4.035,-3.816,-0.22,2988,0.218,-0.001,0.252100840124285,1862
TMEM231,ENSG00000205084,2.568,2.628,-0.06,7720,0.942,-0.001,0.252100840124285,1863
ABCB11,ENSG00000073734,-6.506,-5.574,-0.93,1507,0.031,-0.001,0.252100840124285,1864
ATP1B3,ENSG00000069849,6.509,6.588,-0.08,7835,1.0,-0.001,0.252100840124285,1865
SLC4A4,ENSG00000080493,0.139,0.38,-0.24,6931,0.513,-0.001,0.252100840124285,1866
CDHR1,ENSG00000148600,-1.181,-0.941,-0.24,6603,0.386,-0.001,0.252100840124285,1867
KCNJ4,ENSG00000168135,-5.012,-4.608,-0.4,2941,0.134,-0.001,0.252100840124285,1868
CEACAM4,ENSG00000105352,-2.114,-1.685,-0.43,5610,0.121,-0.001,0.252100840124285,1869
P2RY12,ENSG00000169313,-1.685,-1.214,-0.47,5850,0.244,-0.001,0.252100840124285,1870
SLC6A7,ENSG00000011083,-5.574,-4.608,-0.97,2376,0.041,-0.001,0.252100840124285,1871
SLC15A4,ENSG00000139370,3.912,4.025,-0.11,7835,1.0,-0.001,0.252100840124285,1872
CLEC4M,ENSG00000104938,-6.506,-4.035,-2.47,2670,0.02,-0.001,0.252100840124285,1873
SLC4A1,ENSG00000004939,-5.574,-3.816,-1.76,3063,0.023,-0.001,0.252100840124285,1874
VN1R1,ENSG00000178201,-1.117,-0.576,-0.54,7370,0.216,-0.001,0.252100840124285,1875
CACNG6,ENSG00000130433,-5.012,-4.608,-0.4,2167,0.127,-0.001,0.252100840124285,1876
TECTA,ENSG00000109927,-2.548,-1.595,-0.95,6707,0.058,-0.001,0.252100840124285,1877
IL15RA,ENSG00000134470,3.339,3.413,-0.07,7827,0.974,-0.001,0.252100840124285,1878
SORCS2,ENSG00000184985,0.6,0.715,-0.11,7371,0.596,-0.001,0.252100840124285,1879
IL20RB,ENSG00000174564,-0.512,-0.302,-0.21,7556,0.39,-0.001,0.252100840124285,1880
