gene,uniprot_id,pdb_file
TCTN3,Q6NUS6,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q6NUS6-F1-model_v6.pdb
SCARB1,Q8WTV0,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q8WTV0-F1-model_v6.pdb
NIPAL3,Q6P499,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q6P499-F1-model_v6.pdb
GJB4,Q9NTQ9,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q9NTQ9-F1-model_v6.pdb
SIGLEC7,Q9Y286,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q9Y286-F1-model_v6.pdb
PTTG1IP,P53801,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P53801-F1-model_v6.pdb
CD320,Q9NPF0,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q9NPF0-F1-model_v6.pdb
CXCR5,P32302,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P32302-F1-model_v6.pdb
HRH1,P35367,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P35367-F1-model_v6.pdb
LAG3,P18627,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P18627-F1-model_v6.pdb
LMBR1,Q8WVP7,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q8WVP7-F1-model_v6.pdb
TMEM63B,Q5T3F8,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q5T3F8-F1-model_v6.pdb
HFE,Q30201,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q30201-F1-model_v6.pdb
IGSF8,Q969P0,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q969P0-F1-model_v6.pdb
GPR132,Q9UNW8,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q9UNW8-F1-model_v6.pdb
IL13RA1,P78552,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P78552-F1-model_v6.pdb
SCARB2,Q14108,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q14108-F1-model_v6.pdb
CD180,Q99467,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q99467-F1-model_v6.pdb
TMEM154,Q6P9G4,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q6P9G4-F1-model_v6.pdb
SLC9A1,P19634,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P19634-F1-model_v6.pdb
ATP13A3,Q9H7F0,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q9H7F0-F1-model_v6.pdb
P2RY13,Q9BPV8,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q9BPV8-F1-model_v6.pdb
ABCC3,O15438,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-O15438-F1-model_v6.pdb
TLR1,Q15399,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q15399-F1-model_v6.pdb
CLEC5A,Q9NY25,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q9NY25-F1-model_v6.pdb
TM9SF4,Q92544,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q92544-F1-model_v6.pdb
GLIPR1,P48060,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P48060-F1-model_v6.pdb
